species,afb,adult_body_mass_g,longevity_y,pop_size,hwi,discr_mass
Puffinus_pacificus_Spanish_Apac76,6,NA,21.525,NA,61.38251095,NA
Spheniscus_demersus_USNM_631252,NA,NA,NA,NA,NA,NA
Oceanodroma_tethys_tethys_LSU_B15454,NA,23.5,NA,NA,59.37724734,1
Hydrobates_pelagicus_Bretagnolle_MSP1,3,25.45,20,474999.5,59.04001015,1
Garrodia_nereis_Nunn_GBSP3,4.7,34,NA,NA,55.69497446,1
Oceanites_oceanicus_oceanicus_AMNH_DOT3175,4,34,NA,14000000,58.57520983,1
Oceanodroma_leucorhoa_USNM_639040,5,40.29,29.95833333,7500000,58.74343517,1
Oceanodroma_castro_USNM_602013,NA,43.65,30,150000,60.03525046,1
Pelagodroma_marina_maoriana_USNM_614205,3,47.2,11,NA,54.06799961,1
Fregetta_grallaria_leucogaster_Nunn_WBSP2,4.7,49.5,NA,NA,58.26050466,1
Oceanodroma_furcata_furcata_USNM_638711,NA,57.1,11.5,NA,60.7805424,1
Nesofregetta_fuliginosa_USNM_614206,NA,66.5,NA,NA,55.91099153,1
Bulweria_bulwerii_Bretagnolle_E006980,5,99.5,22,NA,62.13777551,1
Pelecanoides_magellani_AMNH_DOT3211,2,132,NA,168350,48.63995792,1
Pelecanoides_urinatrix_exsul_UWBM_60517,2,134,9,NA,47.71218494,1
Pachyptila_turtur_UWBM_81011,4.5,138.05,10,NA,55.11301462,1
Pseudobulweria_macgillivrayi_KU_22549,NA,143,NA,25,60.78431373,1
Pachyptila_desolata_UWBM_76646,5,153.25,NA,NA,57.10057966,1
Puffinus_lherminieri_baroli_Spanish_PAASs91,8,169,19,44500,56.49828677,1
Pterodroma_nigripennis_Bretagnolle_PEAN12,NA,170.875,NA,NA,63.65708431,1
Pterodroma_hypoleuca_UWBM_55680,NA,178,17,NA,62.96674873,1
Halobaena_caerulea_UWBM_61675,5,190,NA,NA,62.03533464,1
Pterodroma_cookii_UWBM_70582,NA,191,NA,670000,64.0602751,1
Puffinus_assimilis_elegans_Bretagnolle_MNHN1990_796,NA,226,5.833333333,299999.5,55.2906738,2
Pterodroma_hasitata_hasitata_USNM_621363,6.5,278,NA,1500,53.36842105,2
Aphrodroma_brevirostris_Nunn_KGP_1,NA,296.575,NA,NA,61.49049822,2
Pagodroma_nivea_UWBM_61674,9.85,317,20,NA,62.82836712,2
Puffinus_nativitatis_USNM_613922,4,354,17,NA,62.65034207,2
Pterodroma_ultima_USNM_562778,NA,355.5,NA,NA,67.30769231,2
Puffinus_huttoni_LSU_B23388,5,364,NA,NA,59.34015615,2
Puffinus_newelli_NZP_NESH_10250,6,391,7,299999.5,44.41493776,2
Pseudobulweria_becki_Bretagnolle_beckiS1,NA,409,NA,150,48.95388418,2
Pseudobulweria_rostrata_rostrata_NZP,NA,409,NA,15000,66.904744,2
Daption_capense_KU_21827,6,424.75,20,NA,59.3458585,2
Pterodroma_sandwichensis_NZP_HAPE_21298,5.5,425,10.04166667,12050,52.10886796,2
Puffinus_griseus_Spanish_Agri2,6,434,10.08333333,8800000,61.80335915,2
Pterodroma_neglecta_neglecta_USNM_562779,NA,490.5,6.166666667,NA,64.05807814,2
Pterodroma_incerta_Nunn_ATP3,NA,532.2,NA,1800000,65.64443015,2
Calonectris_leucomelas_Spanish_Cleu13,8.9,577,NA,NA,61.05298978,2
Puffinus_carneipes_AMNH_DOT17805,5,612.2,30.2,148000,60.976827,2
Thalassoica_antarctica_UWBM_81012,NA,687.5,NA,NA,56.68333426,2
Calonectris_diomedea_USNM_620710,8.9,775.225,24.83333333,365500,64.12562909,2
Fulmarus_glacialis_auduboni_USNM_623297,6,785,38.95833333,7000000,51.14210464,2
Procellaria_cinerea_Nunn_GYP2,12,1131,NA,NA,60.5103679,3
Procellaria_westlandica_UWBM_82803,12,1204.25,NA,10800,61.96004637,3
Phoebetria_fusca_Nunn_SA3,12.2,2600,NA,24945,68.29319321,3
Phoebastria_immutabilis_USNM_643358,8.9,3050,53,1600000,66.22860061,3
Thalassarche_chrysostoma_AMNH_DOT2584,12.5,3700,30,250000,64.90916223,3
Thalassarche_cauta_salvini_UWBM_81006,12,4012.5,28.5,30700,64.65915606,3
Phoebastria_albatrus_UWBM_55909,9,4102.75,25,1734,66.28526986,3
Macronectes_giganteus_Nunn_SPGG1,11.4,4447.5,14.625,101800,44.73087692,3
Diomedea_dabbenena_Nunn_WA3,9.7,7704.25,40,4100,38.27104561,3
